group	strain	isotype	isotype_ref_strain
0	AB1	AB1	AB1
1	AB4	CB4858	ECA251
1	ECA251	CB4858	ECA251
1	JU1960	CB4858	ECA251
2	BBA2	BBA2	BBA2
3	BRC20067	BRC20067	BRC20067
3	BRC20113	BRC20067	BRC20067
3	BRC20558	BRC20067	BRC20067
4	BRC20231	MY23	MY23
4	MY23	MY23	MY23
5	BRC20263	BRC20263	BRC20263
6	CB4852	CB4852	CB4852
7	CB4854	CB4854	CB4854
8	CB4856	CB4856	CB4856
9	CB4932	CB4932	CB4932
10	CX11254	CX11254	CX11254
11	CX11262	CX11262	CX11262
12	CX11264	CX11264	CX11264
13	CX11271	CX11271	CX11271
14	CX11276	CX11276	CX11276
15	CX11285	CX11285	CX11285
16	CX11292	CX11292	CX11292
17	CX11307	CX11307	CX11307
18	CX11314	CX11314	CX11314
19	CX11315	CX11315	CX11315
20	DL200	DL200	DL200
21	DL226	DL226	DL226
22	DL238	DL238	DL238
23	ECA1069	ECA1069	ECA1069
24	ECA1070	ECA1074	ECA1074
24	ECA1071	ECA1074	ECA1074
24	ECA1072	ECA1074	ECA1074
24	ECA1073	ECA1074	ECA1074
24	ECA1074	ECA1074	ECA1074
25	ECA1184	ECA1185	ECA1185
25	ECA1185	ECA1185	ECA1185
26	ECA1186	ECA1186	ECA1186
27	ECA1187	ECA1187	ECA1187
27	ECA1188	ECA1187	ECA1187
27	ECA1189	ECA1187	ECA1187
27	ECA1190	ECA1187	ECA1187
28	ECA1191	ECA1191	ECA1191
29	ECA1192	ECA1192	ECA1192
30	ECA1193	ECA1193	ECA1193
31	ECA1194	ECA1194	ECA1194
32	ECA1195	ECA1195	ECA1195
33	ECA1196	ECA1196	ECA1196
34	ECA1197	ECA1237	ECA1237
34	ECA1198	ECA1237	ECA1237
34	ECA1234	ECA1237	ECA1237
34	ECA1235	ECA1237	ECA1237
34	ECA1236	ECA1237	ECA1237
34	ECA1237	ECA1237	ECA1237
35	ECA1199	ECA1238	ECA1238
35	ECA1238	ECA1238	ECA1238
35	ECA1239	ECA1238	ECA1238
36	ECA1200	ECA1200	ECA1200
36	ECA3659	ECA1200	ECA1200
36	ECA3666	ECA1200	ECA1200
37	ECA1201	ECA1202	ECA1202
37	ECA1202	ECA1202	ECA1202
38	ECA1203	ECA1208	ECA1208
38	ECA1204	ECA1208	ECA1208
38	ECA1205	ECA1208	ECA1208
38	ECA1207	ECA1208	ECA1208
38	ECA1208	ECA1208	ECA1208
39	ECA1206	ECA1206	ECA1206
39	ECA1973	ECA1206	ECA1206
39	ECA1979	ECA1206	ECA1206
39	ECA1983	ECA1206	ECA1206
40	ECA1209	ECA1212	ECA1212
40	ECA1211	ECA1212	ECA1212
40	ECA1212	ECA1212	ECA1212
41	ECA1210	ECA744	ECA744
41	ECA1213	ECA744	ECA744
41	ECA1214	ECA744	ECA744
41	ECA744	ECA744	ECA744
42	ECA1215	ECA1216	ECA1216
42	ECA1216	ECA1216	ECA1216
42	ECA1217	ECA1216	ECA1216
42	ECA1218	ECA1216	ECA1216
43	ECA1220	ECA812	ECA812
43	ECA1221	ECA812	ECA812
43	ECA2866	ECA812	ECA812
43	ECA2868	ECA812	ECA812
43	ECA2873	ECA812	ECA812
43	ECA2916	ECA812	ECA812
43	ECA2918	ECA812	ECA812
43	ECA3021	ECA812	ECA812
43	ECA3024	ECA812	ECA812
43	ECA3043	ECA812	ECA812
43	ECA3045	ECA812	ECA812
43	ECA3046	ECA812	ECA812
43	ECA3052	ECA812	ECA812
43	ECA3060	ECA812	ECA812
43	ECA3080	ECA812	ECA812
43	ECA3230	ECA812	ECA812
43	ECA3240	ECA812	ECA812
43	ECA3510	ECA812	ECA812
43	ECA3543	ECA812	ECA812
43	ECA3548	ECA812	ECA812
43	ECA3560	ECA812	ECA812
43	ECA3610	ECA812	ECA812
43	ECA3611	ECA812	ECA812
43	ECA3630	ECA812	ECA812
43	ECA3631	ECA812	ECA812
43	ECA3632	ECA812	ECA812
43	ECA3643	ECA812	ECA812
43	ECA3667	ECA812	ECA812
43	ECA3670	ECA812	ECA812
43	ECA3674	ECA812	ECA812
43	ECA3677	ECA812	ECA812
43	ECA3682	ECA812	ECA812
43	ECA3684	ECA812	ECA812
43	ECA3685	ECA812	ECA812
43	ECA3686	ECA812	ECA812
43	ECA3689	ECA812	ECA812
43	ECA704	ECA812	ECA812
43	ECA719	ECA812	ECA812
43	ECA748	ECA812	ECA812
43	ECA750	ECA812	ECA812
43	ECA751	ECA812	ECA812
43	ECA755	ECA812	ECA812
43	ECA759	ECA812	ECA812
43	ECA761	ECA812	ECA812
43	ECA762	ECA812	ECA812
43	ECA771	ECA812	ECA812
43	ECA773	ECA812	ECA812
43	ECA774	ECA812	ECA812
43	ECA775	ECA812	ECA812
43	ECA776	ECA812	ECA812
43	ECA782	ECA812	ECA812
43	ECA783	ECA812	ECA812
43	ECA786	ECA812	ECA812
43	ECA787	ECA812	ECA812
43	ECA809	ECA812	ECA812
43	ECA812	ECA812	ECA812
43	ECA813	ECA812	ECA812
44	ECA1222	ECA1225	ECA1225
44	ECA1225	ECA1225	ECA1225
44	ECA1226	ECA1225	ECA1225
44	ECA1227	ECA1225	ECA1225
45	ECA1223	ECA1223	ECA1223
45	ECA1224	ECA1223	ECA1223
46	ECA1228	ECA1228	ECA1228
47	ECA1229	ECA1229	ECA1229
47	ECA1230	ECA1229	ECA1229
47	ECA1231	ECA1229	ECA1229
47	ECA1233	ECA1229	ECA1229
47	ECA1241	ECA1229	ECA1229
48	ECA1232	ECA1232	ECA1232
49	ECA1240	ECA1240	ECA1240
50	ECA1242	ECA1242	ECA1242
51	ECA1243	ECA1243	ECA1243
51	ECA2803	ECA1243	ECA1243
52	ECA1244	ECA760	ECA760
52	ECA1245	ECA760	ECA760
52	ECA1291	ECA760	ECA760
52	ECA1385	ECA760	ECA760
52	ECA2870	ECA760	ECA760
52	ECA3013	ECA760	ECA760
52	ECA3108	ECA760	ECA760
52	ECA3110	ECA760	ECA760
52	ECA3112	ECA760	ECA760
52	ECA3113	ECA760	ECA760
52	ECA3123	ECA760	ECA760
52	ECA3124	ECA760	ECA760
52	ECA739	ECA760	ECA760
52	ECA749	ECA760	ECA760
52	ECA752	ECA760	ECA760
52	ECA753	ECA760	ECA760
52	ECA754	ECA760	ECA760
52	ECA758	ECA760	ECA760
52	ECA760	ECA760	ECA760
52	ECA769	ECA760	ECA760
52	ECA779	ECA760	ECA760
52	ECA780	ECA760	ECA760
52	ECA784	ECA760	ECA760
52	ECA785	ECA760	ECA760
52	ECA808	ECA760	ECA760
53	ECA1246	ECA1247	ECA1247
53	ECA1247	ECA1247	ECA1247
53	ECA1272	ECA1247	ECA1247
53	ECA1274	ECA1247	ECA1247
54	ECA1249	ECA1255	ECA1255
54	ECA1255	ECA1255	ECA1255
54	ECA1256	ECA1255	ECA1255
55	ECA1250	ECA1251	ECA1251
55	ECA1251	ECA1251	ECA1251
56	ECA1252	ECA1252	ECA1252
57	ECA1253	ECA1253	ECA1253
58	ECA1254	ECA1257	ECA1257
58	ECA1257	ECA1257	ECA1257
58	ECA1258	ECA1257	ECA1257
59	ECA1259	ECA1260	ECA1260
59	ECA1260	ECA1260	ECA1260
60	ECA1261	ECA1261	ECA1261
61	ECA1262	ECA1281	ECA1281
61	ECA1263	ECA1281	ECA1281
61	ECA1264	ECA1281	ECA1281
61	ECA1273	ECA1281	ECA1281
61	ECA1275	ECA1281	ECA1281
61	ECA1279	ECA1281	ECA1281
61	ECA1281	ECA1281	ECA1281
61	ECA1282	ECA1281	ECA1281
61	ECA1779	ECA1281	ECA1281
61	ECA1781	ECA1281	ECA1281
61	ECA1783	ECA1281	ECA1281
61	ECA1975	ECA1281	ECA1281
61	ECA1987	ECA1281	ECA1281
61	ECA1989	ECA1281	ECA1281
61	ECA1991	ECA1281	ECA1281
61	ECA1993	ECA1281	ECA1281
61	ECA2429	ECA1281	ECA1281
61	ECA2431	ECA1281	ECA1281
61	ECA2433	ECA1281	ECA1281
61	ECA2435	ECA1281	ECA1281
61	ECA2439	ECA1281	ECA1281
62	ECA1265	ECA1288	ECA1288
62	ECA1266	ECA1288	ECA1288
62	ECA1288	ECA1288	ECA1288
62	ECA2901	ECA1288	ECA1288
62	ECA2902	ECA1288	ECA1288
62	ECA2903	ECA1288	ECA1288
62	ECA2904	ECA1288	ECA1288
62	ECA2905	ECA1288	ECA1288
62	ECA2906	ECA1288	ECA1288
62	ECA2908	ECA1288	ECA1288
62	ECA2917	ECA1288	ECA1288
62	ECA3533	ECA1288	ECA1288
63	ECA1267	ECA1269	ECA1269
63	ECA1268	ECA1269	ECA1269
63	ECA1269	ECA1269	ECA1269
64	ECA1270	ECA1271	ECA1271
64	ECA1271	ECA1271	ECA1271
65	ECA1276	ECA1276	ECA1276
65	ECA1277	ECA1276	ECA1276
65	ECA3041	ECA1276	ECA1276
65	ECA3604	ECA1276	ECA1276
66	ECA1278	ECA1278	ECA1278
66	ECA3603	ECA1278	ECA1278
67	ECA1283	ECA1283	ECA1283
68	ECA1284	ECA1284	ECA1284
68	ECA1285	ECA1284	ECA1284
69	ECA1286	ECA1286	ECA1286
69	ECA1290	ECA1286	ECA1286
69	ECA3536	ECA1286	ECA1286
69	ECA3570	ECA1286	ECA1286
70	ECA1287	ECA1287	ECA1287
71	ECA1289	ECA1289	ECA1289
71	ECA3037	ECA1289	ECA1289
71	ECA3062	ECA1289	ECA1289
71	ECA3063	ECA1289	ECA1289
71	ECA3068	ECA1289	ECA1289
71	ECA3069	ECA1289	ECA1289
72	ECA1292	ECA1298	ECA1298
72	ECA1295	ECA1298	ECA1298
72	ECA1296	ECA1298	ECA1298
72	ECA1297	ECA1298	ECA1298
72	ECA1298	ECA1298	ECA1298
72	ECA3039	ECA1298	ECA1298
72	ECA3070	ECA1298	ECA1298
72	ECA3073	ECA1298	ECA1298
72	ECA3074	ECA1298	ECA1298
72	ECA3076	ECA1298	ECA1298
72	ECA3078	ECA1298	ECA1298
72	ECA3079	ECA1298	ECA1298
72	ECA3081	ECA1298	ECA1298
72	ECA3082	ECA1298	ECA1298
72	ECA3114	ECA1298	ECA1298
72	ECA3115	ECA1298	ECA1298
72	ECA3120	ECA1298	ECA1298
72	ECA3125	ECA1298	ECA1298
72	ECA3126	ECA1298	ECA1298
72	ECA3127	ECA1298	ECA1298
72	ECA3208	ECA1298	ECA1298
72	ECA3527	ECA1298	ECA1298
72	ECA3528	ECA1298	ECA1298
72	ECA3529	ECA1298	ECA1298
72	ECA3549	ECA1298	ECA1298
72	ECA3637	ECA1298	ECA1298
72	ECA3638	ECA1298	ECA1298
72	ECA3640	ECA1298	ECA1298
72	ECA3641	ECA1298	ECA1298
72	ECA3680	ECA1298	ECA1298
73	ECA1293	ECA1293	ECA1293
73	ECA1294	ECA1293	ECA1293
74	ECA1316	ECA1316	ECA1316
75	ECA1389	ECA1413	ECA1413
75	ECA1391	ECA1413	ECA1413
75	ECA1413	ECA1413	ECA1413
75	ECA1415	ECA1413	ECA1413
75	ECA1421	ECA1413	ECA1413
76	ECA1409	ECA1409	ECA1409
77	ECA1441	ECA724	ECA724
77	ECA3525	ECA724	ECA724
77	ECA724	ECA724	ECA724
77	ECA725	ECA724	ECA724
77	ECA726	ECA724	ECA724
77	ECA727	ECA724	ECA724
78	ECA1465	ECA1493	ECA1493
78	ECA1467	ECA1493	ECA1493
78	ECA1493	ECA1493	ECA1493
78	ECA1515	ECA1493	ECA1493
79	ECA1689	ECA2111	ECA2111
79	ECA1691	ECA2111	ECA2111
79	ECA1695	ECA2111	ECA2111
79	ECA2107	ECA2111	ECA2111
79	ECA2111	ECA2111	ECA2111
80	ECA1693	ECA1693	ECA1693
81	ECA1709	ECA1713	ECA1713
81	ECA1711	ECA1713	ECA1713
81	ECA1713	ECA1713	ECA1713
82	ECA1715	ECA2151	ECA2151
82	ECA1718	ECA2151	ECA2151
82	ECA1721	ECA2151	ECA2151
82	ECA2099	ECA2151	ECA2151
82	ECA2117	ECA2151	ECA2151
82	ECA2122	ECA2151	ECA2151
82	ECA2127	ECA2151	ECA2151
82	ECA2131	ECA2151	ECA2151
82	ECA2143	ECA2151	ECA2151
82	ECA2147	ECA2151	ECA2151
82	ECA2151	ECA2151	ECA2151
82	ECA2167	ECA2151	ECA2151
82	ECA2171	ECA2151	ECA2151
82	ECA2175	ECA2151	ECA2151
82	ECA2964	ECA2151	ECA2151
83	ECA1717	ECA1717	ECA1717
84	ECA1723	ECA1851	ECA1851
84	ECA1851	ECA1851	ECA1851
84	ECA2962	ECA1851	ECA1851
85	ECA1725	ECA1725	ECA1725
86	ECA1727	ECA2159	ECA2159
86	ECA1729	ECA2159	ECA2159
86	ECA2159	ECA2159	ECA2159
86	ECA2163	ECA2159	ECA2159
87	ECA1731	ECA1769	ECA1769
87	ECA1769	ECA1769	ECA1769
87	ECA1771	ECA1769	ECA1769
87	ECA1795	ECA1769	ECA1769
87	ECA1797	ECA1769	ECA1769
88	ECA1733	ECA1751	ECA1751
88	ECA1735	ECA1751	ECA1751
88	ECA1737	ECA1751	ECA1751
88	ECA1741	ECA1751	ECA1751
88	ECA1745	ECA1751	ECA1751
88	ECA1747	ECA1751	ECA1751
88	ECA1749	ECA1751	ECA1751
88	ECA1751	ECA1751	ECA1751
88	ECA1753	ECA1751	ECA1751
89	ECA1739	ECA2091	ECA2091
89	ECA2091	ECA2091	ECA2091
89	ECA2101	ECA2091	ECA2091
89	ECA2103	ECA2091	ECA2091
89	ECA2309	ECA2091	ECA2091
89	ECA2311	ECA2091	ECA2091
89	ECA2313	ECA2091	ECA2091
89	ECA2315	ECA2091	ECA2091
90	ECA1743	ECA1761	ECA1761
90	ECA1761	ECA1761	ECA1761
90	ECA1763	ECA1761	ECA1761
90	ECA1765	ECA1761	ECA1761
90	ECA1767	ECA1761	ECA1761
91	ECA1755	ECA1757	ECA1757
91	ECA1757	ECA1757	ECA1757
91	ECA2321	ECA1757	ECA1757
91	ECA2322	ECA1757	ECA1757
92	ECA1759	ECA1853	ECA1853
92	ECA1853	ECA1853	ECA1853
92	ECA1855	ECA1853	ECA1853
92	ECA1857	ECA1853	ECA1853
92	ECA1859	ECA1853	ECA1853
92	ECA2324	ECA1853	ECA1853
93	ECA1785	ECA2377	ECA2377
93	ECA2375	ECA2377	ECA2377
93	ECA2377	ECA2377	ECA2377
94	ECA1787	ECA2081	ECA2081
94	ECA1789	ECA2081	ECA2081
94	ECA2079	ECA2081	ECA2081
94	ECA2081	ECA2081	ECA2081
94	ECA2085	ECA2081	ECA2081
95	ECA1791	ECA2443	ECA2443
95	ECA1913	ECA2443	ECA2443
95	ECA1915	ECA2443	ECA2443
95	ECA1917	ECA2443	ECA2443
95	ECA2443	ECA2443	ECA2443
95	ECA2445	ECA2443	ECA2443
96	ECA1793	ECA1793	ECA1793
96	ECA2121	ECA1793	ECA1793
97	ECA1799	ECA1805	ECA1805
97	ECA1801	ECA1805	ECA1805
97	ECA1803	ECA1805	ECA1805
97	ECA1805	ECA1805	ECA1805
98	ECA1807	ECA1807	ECA1807
99	ECA1809	ECA1815	ECA1815
99	ECA1811	ECA1815	ECA1815
99	ECA1813	ECA1815	ECA1815
99	ECA1815	ECA1815	ECA1815
99	ECA1817	ECA1815	ECA1815
99	ECA1819	ECA1815	ECA1815
100	ECA1821	ECA1821	ECA1821
100	ECA1823	ECA1821	ECA1821
101	ECA1825	ECA1825	ECA1825
101	ECA1831	ECA1825	ECA1825
101	ECA2931	ECA1825	ECA1825
101	ECA2965	ECA1825	ECA1825
101	ECA2980	ECA1825	ECA1825
101	ECA2983	ECA1825	ECA1825
101	ECA2985	ECA1825	ECA1825
101	ECA2989	ECA1825	ECA1825
101	ECA2990	ECA1825	ECA1825
101	ECA2997	ECA1825	ECA1825
101	ECA2998	ECA1825	ECA1825
101	ECA2999	ECA1825	ECA1825
101	ECA3000	ECA1825	ECA1825
101	ECA3001	ECA1825	ECA1825
102	ECA1827	ECA2336	ECA2336
102	ECA1829	ECA2336	ECA2336
102	ECA1833	ECA2336	ECA2336
102	ECA1877	ECA2336	ECA2336
102	ECA1907	ECA2336	ECA2336
102	ECA2289	ECA2336	ECA2336
102	ECA2293	ECA2336	ECA2336
102	ECA2319	ECA2336	ECA2336
102	ECA2336	ECA2336	ECA2336
102	ECA2338	ECA2336	ECA2336
102	ECA2934	ECA2336	ECA2336
102	ECA2935	ECA2336	ECA2336
102	ECA2938	ECA2336	ECA2336
102	ECA2940	ECA2336	ECA2336
102	ECA2984	ECA2336	ECA2336
103	ECA1835	ECA1843	ECA1843
103	ECA1837	ECA1843	ECA1843
103	ECA1839	ECA1843	ECA1843
103	ECA1841	ECA1843	ECA1843
103	ECA1843	ECA1843	ECA1843
104	ECA1845	ECA1885	ECA1885
104	ECA1847	ECA1885	ECA1885
104	ECA1849	ECA1885	ECA1885
104	ECA1885	ECA1885	ECA1885
105	ECA1861	ECA1919	ECA1919
105	ECA1863	ECA1919	ECA1919
105	ECA1865	ECA1919	ECA1919
105	ECA1867	ECA1919	ECA1919
105	ECA1869	ECA1919	ECA1919
105	ECA1871	ECA1919	ECA1919
105	ECA1919	ECA1919	ECA1919
105	ECA1921	ECA1919	ECA1919
105	ECA1923	ECA1919	ECA1919
105	ECA1927	ECA1919	ECA1919
105	ECA1929	ECA1919	ECA1919
105	ECA1935	ECA1919	ECA1919
106	ECA1873	ECA1901	ECA1901
106	ECA1901	ECA1901	ECA1901
107	ECA1875	ECA1875	ECA1875
107	ECA1931	ECA1875	ECA1875
107	ECA1933	ECA1875	ECA1875
108	ECA1878	ECA741	ECA741
108	ECA2295	ECA741	ECA741
108	ECA2307	ECA741	ECA741
108	ECA741	ECA741	ECA741
109	ECA1887	ECA1887	ECA1887
109	ECA1897	ECA1887	ECA1887
110	ECA1889	ECA1889	ECA1889
110	ECA1903	ECA1889	ECA1889
111	ECA189	ECA189	ECA189
111	ECA190	ECA189	ECA189
111	ECA192	ECA189	ECA189
111	ECA193	ECA189	ECA189
111	ECA393	ECA189	ECA189
111	ECA394	ECA189	ECA189
111	ECA395	ECA189	ECA189
112	ECA1891	ECA1891	ECA1891
113	ECA1895	ECA2482	ECA2482
113	ECA2253	ECA2482	ECA2482
113	ECA2482	ECA2482	ECA2482
114	ECA1909	ECA2473	ECA2473
114	ECA1911	ECA2473	ECA2473
114	ECA2249	ECA2473	ECA2473
114	ECA2255	ECA2473	ECA2473
114	ECA2401	ECA2473	ECA2473
114	ECA2403	ECA2473	ECA2473
114	ECA2405	ECA2473	ECA2473
114	ECA2473	ECA2473	ECA2473
115	ECA191	ECA191	ECA191
116	ECA1925	ECA1925	ECA1925
117	ECA1937	ECA1937	ECA1937
118	ECA1939	ECA1939	ECA1939
118	ECA1951	ECA1939	ECA1939
118	ECA1953	ECA1939	ECA1939
119	ECA1943	ECA1943	ECA1943
120	ECA1967	ECA1977	ECA1977
120	ECA1971	ECA1977	ECA1977
120	ECA1977	ECA1977	ECA1977
120	ECA1981	ECA1977	ECA1977
120	ECA1985	ECA1977	ECA1977
121	ECA1969	ECA1969	ECA1969
122	ECA1995	ECA1997	ECA1997
122	ECA1997	ECA1997	ECA1997
123	ECA2041	ECA2041	ECA2041
124	ECA2043	ECA2043	ECA2043
125	ECA2065	ECA2073	ECA2073
125	ECA2067	ECA2073	ECA2073
125	ECA2069	ECA2073	ECA2073
125	ECA2071	ECA2073	ECA2073
125	ECA2073	ECA2073	ECA2073
125	ECA2075	ECA2073	ECA2073
126	ECA2095	ECA2195	ECA2195
126	ECA2097	ECA2195	ECA2195
126	ECA2195	ECA2195	ECA2195
126	ECA2203	ECA2195	ECA2195
126	ECA2207	ECA2195	ECA2195
127	ECA2109	ECA2109	ECA2109
127	ECA2930	ECA2109	ECA2109
127	ECA2981	ECA2109	ECA2109
127	ECA3003	ECA2109	ECA2109
128	ECA2125	ECA2281	ECA2281
128	ECA2281	ECA2281	ECA2281
128	ECA2283	ECA2281	ECA2281
128	ECA2285	ECA2281	ECA2281
128	ECA2287	ECA2281	ECA2281
129	ECA2135	ECA2187	ECA2187
129	ECA2139	ECA2187	ECA2187
129	ECA2179	ECA2187	ECA2187
129	ECA2187	ECA2187	ECA2187
130	ECA2155	ECA2155	ECA2155
131	ECA2183	ECA2183	ECA2183
132	ECA2191	ECA2191	ECA2191
133	ECA2199	ECA2199	ECA2199
134	ECA2247	ECA2489	ECA2489
134	ECA2489	ECA2489	ECA2489
135	ECA2251	ECA2251	ECA2251
136	ECA2291	ECA2291	ECA2291
137	ECA2326	ECA2332	ECA2332
137	ECA2328	ECA2332	ECA2332
137	ECA2330	ECA2332	ECA2332
137	ECA2332	ECA2332	ECA2332
138	ECA2334	ECA2334	ECA2334
138	ECA2340	ECA2334	ECA2334
139	ECA2342	ECA2344	ECA2344
139	ECA2344	ECA2344	ECA2344
140	ECA2348	ECA2350	ECA2350
140	ECA2350	ECA2350	ECA2350
140	ECA2352	ECA2350	ECA2350
141	ECA2354	ECA2360	ECA2360
141	ECA2356	ECA2360	ECA2360
141	ECA2358	ECA2360	ECA2360
141	ECA2360	ECA2360	ECA2360
141	ECA2362	ECA2360	ECA2360
141	ECA2986	ECA2360	ECA2360
141	ECA3004	ECA2360	ECA2360
142	ECA2365	ECA363	ECA363
142	ECA363	ECA363	ECA363
143	ECA2367	ECA2367	ECA2367
144	ECA2413	ECA2417	ECA2417
144	ECA2415	ECA2417	ECA2417
144	ECA2417	ECA2417	ECA2417
144	ECA2419	ECA2417	ECA2417
144	ECA2421	ECA2417	ECA2417
144	ECA2423	ECA2417	ECA2417
145	ECA243	CB4851	ECA243
146	ECA2437	ECA2437	ECA2437
147	ECA245	CB4853	ECA246
147	ECA246	CB4853	ECA246
148	ECA2452	ECA2452	ECA2452
149	ECA2467	ECA2467	ECA2467
150	ECA2475	ECA2475	ECA2475
150	ECA2477	ECA2475	ECA2475
150	ECA2479	ECA2475	ECA2475
150	ECA2485	ECA2475	ECA2475
150	ECA2487	ECA2475	ECA2475
150	ECA3646	ECA2475	ECA2475
151	ECA248	CB4855	ECA248
152	ECA2481	ECA2481	ECA2481
153	ECA249	CB4857	ECA250
153	ECA250	CB4857	ECA250
154	ECA2521	ECA2533	ECA2533
154	ECA2525	ECA2533	ECA2533
154	ECA2532	ECA2533	ECA2533
154	ECA2533	ECA2533	ECA2533
154	ECA2534	ECA2533	ECA2533
154	ECA2537	ECA2533	ECA2533
155	ECA2522	ECA2522	ECA2522
156	ECA2523	ECA2523	ECA2523
156	ECA2524	ECA2523	ECA2523
157	ECA2526	ECA2536	ECA2536
157	ECA2535	ECA2536	ECA2536
157	ECA2536	ECA2536	ECA2536
158	ECA2527	ECA2527	ECA2527
158	ECA2528	ECA2527	ECA2527
159	ECA2529	ECA2529	ECA2529
160	ECA253	N2	N2
160	N2	N2	N2
161	ECA2546	ECA2546	ECA2546
161	ECA2547	ECA2546	ECA2546
161	ECA2582	ECA2546	ECA2546
162	ECA2548	ECA2672	ECA2672
162	ECA2552	ECA2672	ECA2672
162	ECA2585	ECA2672	ECA2672
162	ECA2608	ECA2672	ECA2672
162	ECA2657	ECA2672	ECA2672
162	ECA2672	ECA2672	ECA2672
163	ECA2549	ECA2549	ECA2549
164	ECA2550	ECA2551	ECA2551
164	ECA2551	ECA2551	ECA2551
164	ECA2553	ECA2551	ECA2551
164	ECA2643	ECA2551	ECA2551
164	ECA2649	ECA2551	ECA2551
164	ECA2673	ECA2551	ECA2551
164	ECA2674	ECA2551	ECA2551
165	ECA2554	ECA2554	ECA2554
166	ECA2555	ECA2555	ECA2555
167	ECA2556	ECA2559	ECA2559
167	ECA2557	ECA2559	ECA2559
167	ECA2559	ECA2559	ECA2559
168	ECA2558	ECA2609	ECA2609
168	ECA2609	ECA2609	ECA2609
168	ECA2610	ECA2609	ECA2609
168	ECA2675	ECA2609	ECA2609
169	ECA2560	ECA2560	ECA2560
170	ECA2561	ECA2561	ECA2561
170	ECA2570	ECA2561	ECA2561
170	ECA2579	ECA2561	ECA2561
170	ECA2580	ECA2561	ECA2561
170	ECA2651	ECA2561	ECA2561
171	ECA2562	ECA2565	ECA2565
171	ECA2563	ECA2565	ECA2565
171	ECA2564	ECA2565	ECA2565
